INFO | 2024-01-09 00:00 -- New last_scanned_date set to 2024-01-09 00:00:00
INFO | 2024-01-09 00:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-09 00:00 -- Enabled quest scanning mode
INFO | 2024-01-09 00:00 -- Pokestop quest scanning started
ERROR | 2024-01-09 00:10 -- Devices not found: Tx9s
ERROR | 2024-01-09 00:30 -- Devices not found: Tx9s1_JMBoy
ERROR | 2024-01-09 01:20 -- Devices not found: a95xF1
INFO | 2024-01-09 01:25 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-09 01:30 -- Devices not found: a95xF1
INFO | 2024-01-09 01:30 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-09 01:30 -- Disabled quest scanning mode
INFO | 2024-01-09 01:30 -- Pokestop quest scan completed
ERROR | 2024-01-09 04:00 -- Devices not found: Tx9s, a95xF1, Tx9s1_JMBoy, Tx9s2_JMBoy, Tx9s3_JMBoy
ERROR | 2024-01-09 06:15 -- Devices not found: a95xF1
ERROR | 2024-01-09 07:00 -- Devices not scanning: a95xF1
ERROR | 2024-01-09 08:15 -- Devices not scanning: Tx9s
ERROR | 2024-01-09 13:25 -- Devices not found: Tx9s, a95xF1, Tx9s1_JMBoy, Tx9s2_JMBoy, Tx9s3_JMBoy
INFO | 2024-01-10 00:00 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-10 00:00 -- Cleared previous quest data
INFO | 2024-01-10 00:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-10 00:00 -- Truncated quests table sucessfully!
INFO | 2024-01-10 00:00 -- New PvP data generated
INFO | 2024-01-10 00:00 -- New last_scanned_date set to 2024-01-10 00:00:00
INFO | 2024-01-10 00:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-10 00:00 -- Enabled quest scanning mode
INFO | 2024-01-10 00:01 -- Pokestop quest scanning started
INFO | 2024-01-10 00:35 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-10 00:41 -- Disabled quest scanning mode
INFO | 2024-01-10 00:41 -- Pokestop quest scan completed
ERROR | 2024-01-10 04:00 -- Devices not found: a95xF1, Tx9s3_JMBoy
INFO | 2024-01-10 20:00 -- Rescan scheduled starting
INFO | 2024-01-10 20:00 -- Cleared previous quest data
INFO | 2024-01-10 20:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-10 20:00 -- Truncated quests table sucessfully!
INFO | 2024-01-10 20:00 -- New PvP data generated
INFO | 2024-01-10 20:00 -- New last_scanned_date set to 2024-01-10 00:00:00
INFO | 2024-01-10 20:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-10 20:00 -- Enabled quest scanning mode
INFO | 2024-01-10 20:00 -- Scheduled rescan started successfully
ERROR | 2024-01-10 20:05 -- Devices not found: Tx9s1_JMBoy
ERROR | 2024-01-10 20:10 -- Devices not found: Tx9s2_JMBoy
INFO | 2024-01-10 20:30 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-10 20:30 -- Disabled quest scanning mode
